text_chunk
"Supplier Summary: Almaral Steel FZC | ID: SUP-072 | Region: EMEA | Country: UAE | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 86 | Sustainability Score: 63 | Avg OTD Rate: 85.7% | Avg Defect Rate: 1.74% | Total PO Value: $9,330,113.92 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Port congestion risk; Political instability flag; Regulatory audit pending; Currency volatility flag; Geopolitical tension flag; Audit overdue; compliance review; Tariff adjustment pending; Regulatory enforcement pending; Port closure risk"
"Supplier Summary: Lumivex Semiconductor NL | ID: SUP-054 | Region: EMEA | Country: Netherlands | Tier: Tier-1 | Risk Level: High | Compliance Score: 89 | Sustainability Score: 72 | Avg OTD Rate: 93.2% | Avg Defect Rate: 0.92% | Total PO Value: $922,977.08 | Total POs: 17 | Certifications: ISO9001;AEC-Q100;RoHS | Active Disruptions: Political instability flag; Port congestion risk; Labour strike risk; Regulatory audit pending; Export license risk; Tariff adjustment pending"
"Supplier Summary: Lyon Polymer SAS | ID: SUP-052 | Region: EMEA | Country: France | Tier: Tier-1 | Risk Level: Medium | Compliance Score: 89 | Sustainability Score: 70 | Avg OTD Rate: 93.3% | Avg Defect Rate: 0.91% | Total PO Value: $1,493,177.51 | Total POs: 17 | Certifications: ISO9001;ISO14001;REACH | Active Disruptions: Geopolitical tension flag; Regulatory enforcement pending; Port congestion risk; Export license risk; Tariff adjustment pending; Seasonal flood risk"
"Supplier Summary: Maghreb Castworks | ID: SUP-080 | Region: EMEA | Country: Morocco | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 62 | Sustainability Score: 59 | Avg OTD Rate: 72.5% | Avg Defect Rate: 2.85% | Total PO Value: $3,332,740.62 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Tariff adjustment pending; Regulatory enforcement pending; Labour strike risk; Export license risk; Typhoon season disruption; Port closure risk; Currency volatility flag; Geopolitical tension flag; Audit overdue; compliance review"
"Supplier Summary: Maplewood Polymer Corp | ID: SUP-112 | Region: nan | Country: Canada | Tier: Tier-1 | Risk Level: Medium | Compliance Score: 95 | Sustainability Score: 84 | Avg OTD Rate: 92.3% | Avg Defect Rate: 1.07% | Total PO Value: $953,228.38 | Total POs: 17 | Certifications: ISO9001;ISO14001;REACH | Active Disruptions: Geopolitical tension flag; Regulatory audit pending; Port congestion risk; Tariff adjustment pending"
"Supplier Summary: MeKong Pack Co | ID: SUP-020 | Region: APAC | Country: Vietnam | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 52 | Sustainability Score: 45 | Avg OTD Rate: 71.0% | Avg Defect Rate: 2.86% | Total PO Value: $1,312,164.75 | Total POs: 18 | Certifications: FSC;ISO9001 | Active Disruptions: Geopolitical tension flag; Port congestion risk; Typhoon season disruption; Regulatory enforcement pending; Export license risk; Currency volatility flag; Audit overdue; compliance review; Political instability flag; Regulatory audit pending"
"Supplier Summary: Milano Textil Srl | ID: SUP-068 | Region: EMEA | Country: Italy | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 83 | Sustainability Score: 85 | Avg OTD Rate: 83.4% | Avg Defect Rate: 1.79% | Total PO Value: $1,701,983.81 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Geopolitical tension flag; Port congestion risk; Port closure risk; Tariff adjustment pending; Export license risk; Labour strike risk; Seasonal flood risk; Currency volatility flag; Typhoon season disruption"
"Supplier Summary: Minas Gerais Alloys | ID: SUP-085 | Region: LATAM | Country: Brazil | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 85 | Sustainability Score: 54 | Avg OTD Rate: 84.7% | Avg Defect Rate: 2.00% | Total PO Value: $8,225,174.12 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Seasonal flood risk; Regulatory audit pending; Typhoon season disruption; Currency volatility flag; Labour strike risk; Port congestion risk; Geopolitical tension flag"
"Supplier Summary: Monterrey Pack SA | ID: SUP-088 | Region: LATAM | Country: Mexico | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 81 | Sustainability Score: 73 | Avg OTD Rate: 87.0% | Avg Defect Rate: 1.89% | Total PO Value: $1,022,512.74 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Regulatory audit pending; Port congestion risk; Regulatory enforcement pending; Tariff adjustment pending; Typhoon season disruption; Seasonal flood risk; Port closure risk"
"Supplier Summary: Munich Alloy Technik | ID: SUP-049 | Region: EMEA | Country: Germany | Tier: Tier-1 | Risk Level: Low | Compliance Score: 87 | Sustainability Score: 93 | Avg OTD Rate: 94.5% | Avg Defect Rate: 0.89% | Total PO Value: $3,034,722.45 | Total POs: 17 | Certifications: ISO9001;NADCAP;AS9100 | Active Disruptions: Port closure risk; Geopolitical tension flag; Labour strike risk; Seasonal flood risk"
"Supplier Summary: Narmada Pack Solutions | ID: SUP-015 | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 85 | Sustainability Score: 84 | Avg OTD Rate: 86.8% | Avg Defect Rate: 1.92% | Total PO Value: $1,013,910.11 | Total POs: 18 | Certifications: FSC;ISO9001 | Active Disruptions: Geopolitical tension flag; Port closure risk; Regulatory audit pending; Currency volatility flag; Regulatory enforcement pending; Political instability flag; Port congestion risk; Seasonal flood risk"
"Supplier Summary: Norbec Alloy Works | ID: SUP-058 | Region: EMEA | Country: Norway | Tier: Tier-1 | Risk Level: Low | Compliance Score: 98 | Sustainability Score: 79 | Avg OTD Rate: 93.4% | Avg Defect Rate: 1.02% | Total PO Value: $2,735,906.82 | Total POs: 17 | Certifications: ISO9001;ISO14001;AS9100 | Active Disruptions: Regulatory enforcement pending; Tariff adjustment pending; Seasonal flood risk; Political instability flag"
"Supplier Summary: Nordloom Finland Oy | ID: SUP-060 | Region: EMEA | Country: Finland | Tier: Tier-1 | Risk Level: Low | Compliance Score: 96 | Sustainability Score: 90 | Avg OTD Rate: 94.4% | Avg Defect Rate: 1.06% | Total PO Value: $406,982.47 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001;ISO14001 | Active Disruptions: Geopolitical tension flag; Tariff adjustment pending; Seasonal flood risk; Audit overdue; compliance review"
"Supplier Summary: Norrsken Textiles AB | ID: SUP-057 | Region: EMEA | Country: Sweden | Tier: Tier-1 | Risk Level: Medium | Compliance Score: 98 | Sustainability Score: 91 | Avg OTD Rate: 94.2% | Avg Defect Rate: 1.01% | Total PO Value: $509,745.89 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001;ISO14001 | Active Disruptions: Port congestion risk; Labour strike risk; Geopolitical tension flag; Currency volatility flag; Seasonal flood risk; Regulatory audit pending"
"Supplier Summary: Novex Fab Polska | ID: SUP-074 | Region: EMEA | Country: Poland | Tier: Tier-2 | Risk Level: Low | Compliance Score: 76 | Sustainability Score: 66 | Avg OTD Rate: 88.4% | Avg Defect Rate: 1.96% | Total PO Value: $2,004,703.11 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Port congestion risk; Typhoon season disruption; Currency volatility flag; Export license risk; Political instability flag"
"Supplier Summary: Ohio Valley Electronics | ID: SUP-111 | Region: AMER | Country: USA | Tier: Tier-2 | Risk Level: Low | Compliance Score: 69 | Sustainability Score: 71 | Avg OTD Rate: 87.1% | Avg Defect Rate: 1.86% | Total PO Value: $2,733,841.93 | Total POs: 17 | Certifications: ISO9001;RoHS | Active Disruptions: Geopolitical tension flag; Audit overdue; compliance review; Seasonal flood risk; Regulatory audit pending"
"Supplier Summary: Orinoco Pack SAPI | ID: SUP-100 | Region: LATAM | Country: Venezuela | Tier: Tier-3 | Risk Level: Low | Compliance Score: 61 | Sustainability Score: 62 | Avg OTD Rate: 72.3% | Avg Defect Rate: 2.80% | Total PO Value: $1,345,067.87 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Audit overdue; compliance review; Political instability flag; Currency volatility flag; Labour strike risk; Export license risk; Seasonal flood risk; Geopolitical tension flag; Tariff adjustment pending; Regulatory audit pending; Typhoon season disruption"
"Supplier Summary: Orrentek Precision Mfg | ID: SUP-001 | Region: APAC | Country: China | Tier: Tier-1 | Risk Level: Low | Compliance Score: 88 | Sustainability Score: 77 | Avg OTD Rate: 95.7% | Avg Defect Rate: 0.87% | Total PO Value: $939,643.31 | Total POs: 18 | Certifications: ISO9001;ISO14001;RoHS | Active Disruptions: Tariff adjustment pending; Regulatory audit pending; Political instability flag; Port congestion risk"
"Supplier Summary: Osaka Polymer Systems | ID: SUP-030 | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Low | Compliance Score: 83 | Sustainability Score: 89 | Avg OTD Rate: 94.8% | Avg Defect Rate: 0.90% | Total PO Value: $1,766,673.12 | Total POs: 17 | Certifications: ISO9001;ISO14001;REACH | Active Disruptions: Geopolitical tension flag; Seasonal flood risk"
"Supplier Summary: Ostwind Composites AG | ID: SUP-064 | Region: EMEA | Country: Austria | Tier: Tier-1 | Risk Level: High | Compliance Score: 87 | Sustainability Score: 96 | Avg OTD Rate: 93.6% | Avg Defect Rate: 1.08% | Total PO Value: $1,402,260.91 | Total POs: 17 | Certifications: ISO9001;ISO14001;REACH | Active Disruptions: Typhoon season disruption; Regulatory audit pending; Tariff adjustment pending; Currency volatility flag; Geopolitical tension flag; Regulatory enforcement pending"
"Supplier Summary: Patagonia Alloys SRL | ID: SUP-091 | Region: LATAM | Country: Argentina | Tier: Tier-3 | Risk Level: Low | Compliance Score: 76 | Sustainability Score: 65 | Avg OTD Rate: 72.1% | Avg Defect Rate: 3.12% | Total PO Value: $13,980,886.91 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Seasonal flood risk; Labour strike risk; Audit overdue; compliance review; Tariff adjustment pending; Export license risk; Geopolitical tension flag; Regulatory audit pending; Currency volatility flag; Political instability flag"
"Supplier Summary: Pinnacle Resin Co | ID: SUP-113 | Region: nan | Country: Canada | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 74 | Sustainability Score: 74 | Avg OTD Rate: 84.0% | Avg Defect Rate: 1.49% | Total PO Value: $5,909,011.05 | Total POs: 17 | Certifications: ISO9001;REACH | Active Disruptions: Seasonal flood risk; Currency volatility flag; Port congestion risk; Typhoon season disruption; Geopolitical tension flag"
"Supplier Summary: Plataforma Metales SA | ID: SUP-090 | Region: LATAM | Country: Argentina | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 68 | Sustainability Score: 62 | Avg OTD Rate: 72.9% | Avg Defect Rate: 3.43% | Total PO Value: $8,108,557.46 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Export license risk; Seasonal flood risk; Port closure risk; Labour strike risk; Audit overdue; compliance review; Regulatory enforcement pending; Political instability flag; Regulatory audit pending; Geopolitical tension flag; Currency volatility flag"
"Supplier Summary: Prairie Mech Corp | ID: SUP-116 | Region: nan | Country: Canada | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 87 | Sustainability Score: 54 | Avg OTD Rate: 85.0% | Avg Defect Rate: 1.66% | Total PO Value: $2,153,364.88 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Regulatory audit pending; Seasonal flood risk; Political instability flag; Port closure risk; Audit overdue; compliance review"
"Supplier Summary: PrecisionForge Taiyuan | ID: SUP-033 | Region: APAC | Country: Taiwan | Tier: Tier-1 | Risk Level: Medium | Compliance Score: 86 | Sustainability Score: 83 | Avg OTD Rate: 94.4% | Avg Defect Rate: 1.12% | Total PO Value: $591,164.41 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Tariff adjustment pending; Port congestion risk; Seasonal flood risk"
"Supplier Summary: Quetzal Textiles | ID: SUP-101 | Region: LATAM | Country: Guatemala | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 67 | Sustainability Score: 32 | Avg OTD Rate: 75.2% | Avg Defect Rate: 2.76% | Total PO Value: $2,193,532.56 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Seasonal flood risk; Port congestion risk; Audit overdue; compliance review; Regulatory enforcement pending; Labour strike risk; Currency volatility flag; Export license risk; Typhoon season disruption; Political instability flag"
"Supplier Summary: Recife Textiles SA | ID: SUP-084 | Region: LATAM | Country: Brazil | Tier: Tier-2 | Risk Level: High | Compliance Score: 67 | Sustainability Score: 70 | Avg OTD Rate: 86.8% | Avg Defect Rate: 1.73% | Total PO Value: $1,086,569.50 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Port closure risk; Geopolitical tension flag; Regulatory audit pending; Seasonal flood risk; Typhoon season disruption; Port congestion risk; Regulatory enforcement pending"
"Supplier Summary: Rheinwerk Precision AG | ID: SUP-047 | Region: EMEA | Country: Germany | Tier: Tier-1 | Risk Level: Low | Compliance Score: 95 | Sustainability Score: 84 | Avg OTD Rate: 93.6% | Avg Defect Rate: 0.96% | Total PO Value: $672,371.26 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Geopolitical tension flag; Regulatory audit pending; Typhoon season disruption"
"Supplier Summary: Ridgecroft Textiles | ID: SUP-104 | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: High | Compliance Score: 91 | Sustainability Score: 79 | Avg OTD Rate: 94.0% | Avg Defect Rate: 0.84% | Total PO Value: $487,220.36 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001;OSHA | Active Disruptions: Port closure risk; Tariff adjustment pending; Seasonal flood risk; Port congestion risk"
"Supplier Summary: Rockies Pack Inc | ID: SUP-114 | Region: nan | Country: Canada | Tier: Tier-2 | Risk Level: Low | Compliance Score: 76 | Sustainability Score: 75 | Avg OTD Rate: 86.1% | Avg Defect Rate: 1.90% | Total PO Value: $859,435.88 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Geopolitical tension flag; Seasonal flood risk; Regulatory audit pending; Audit overdue; compliance review; Port congestion risk; Port closure risk"
"Supplier Summary: Rotterdam Chem BV | ID: SUP-055 | Region: EMEA | Country: Netherlands | Tier: Tier-1 | Risk Level: Low | Compliance Score: 93 | Sustainability Score: 79 | Avg OTD Rate: 93.2% | Avg Defect Rate: 0.78% | Total PO Value: $1,737,233.78 | Total POs: 17 | Certifications: ISO9001;ISO14001;REACH | Active Disruptions: Tariff adjustment pending; Port closure risk"
"Supplier Summary: Sahyadri Alloy Tech | ID: SUP-017 | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: High | Compliance Score: 52 | Sustainability Score: 58 | Avg OTD Rate: 73.4% | Avg Defect Rate: 2.86% | Total PO Value: $16,178,106.95 | Total POs: 18 | Certifications: ISO9001 | Active Disruptions: Export license risk; Port congestion risk; Typhoon season disruption; Regulatory enforcement pending; Currency volatility flag; Port closure risk; Political instability flag"
"Supplier Summary: Saigon Precision Works | ID: SUP-019 | Region: APAC | Country: Vietnam | Tier: Tier-2 | Risk Level: Low | Compliance Score: 85 | Sustainability Score: 82 | Avg OTD Rate: 87.1% | Avg Defect Rate: 1.55% | Total PO Value: $3,475,625.36 | Total POs: 18 | Certifications: ISO9001;RoHS | Active Disruptions: Seasonal flood risk; Labour strike risk; Geopolitical tension flag; Typhoon season disruption; Regulatory audit pending; Port closure risk; Export license risk"
"Supplier Summary: Santiago Pack Corp | ID: SUP-099 | Region: LATAM | Country: Chile | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 81 | Sustainability Score: 84 | Avg OTD Rate: 86.0% | Avg Defect Rate: 1.70% | Total PO Value: $959,031.33 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Tariff adjustment pending; Port congestion risk; Currency volatility flag; Geopolitical tension flag; Export license risk; Regulatory audit pending"
"Supplier Summary: Sao Paulo Polymer | ID: SUP-083 | Region: LATAM | Country: Brazil | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 74 | Sustainability Score: 69 | Avg OTD Rate: 86.9% | Avg Defect Rate: 1.87% | Total PO Value: $5,124,519.22 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Regulatory enforcement pending; Seasonal flood risk; Geopolitical tension flag; Port closure risk; Audit overdue; compliance review; Typhoon season disruption; Tariff adjustment pending"
"Supplier Summary: Sendai Mech Works | ID: SUP-031 | Region: APAC | Country: Japan | Tier: Tier-1 | Risk Level: Medium | Compliance Score: 97 | Sustainability Score: 91 | Avg OTD Rate: 93.3% | Avg Defect Rate: 1.05% | Total PO Value: $703,129.89 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Port congestion risk; Typhoon season disruption; Export license risk; Regulatory audit pending; Seasonal flood risk"
"Supplier Summary: Seoultech Micro | ID: SUP-024 | Region: APAC | Country: South Korea | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 68 | Sustainability Score: 53 | Avg OTD Rate: 86.1% | Avg Defect Rate: 1.83% | Total PO Value: $3,297,535.58 | Total POs: 18 | Certifications: ISO9001;RoHS | Active Disruptions: Geopolitical tension flag; Export license risk; Port congestion risk; Port closure risk; Regulatory audit pending; Regulatory enforcement pending; Seasonal flood risk; Political instability flag"
"Supplier Summary: Shengda Pack Industries | ID: SUP-008 | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: High | Compliance Score: 78 | Sustainability Score: 62 | Avg OTD Rate: 88.2% | Avg Defect Rate: 1.96% | Total PO Value: $884,286.30 | Total POs: 18 | Certifications: FSC;ISO9001 | Active Disruptions: Export license risk; Regulatory audit pending; Labour strike risk; Seasonal flood risk; Typhoon season disruption; Regulatory enforcement pending; Port congestion risk; Tariff adjustment pending"
"Supplier Summary: Sibertek Molding | ID: SUP-045 | Region: APAC | Country: Russia | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 70 | Sustainability Score: 45 | Avg OTD Rate: 72.7% | Avg Defect Rate: 3.19% | Total PO Value: $3,126,936.59 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Port closure risk; Geopolitical tension flag; Regulatory audit pending; Labour strike risk; Seasonal flood risk; Tariff adjustment pending"
"Supplier Summary: SingaMold Tech | ID: SUP-038 | Region: APAC | Country: Singapore | Tier: Tier-1 | Risk Level: Low | Compliance Score: 82 | Sustainability Score: 92 | Avg OTD Rate: 94.7% | Avg Defect Rate: 0.78% | Total PO Value: $687,982.73 | Total POs: 17 | Certifications: ISO9001;IATF16949 | Active Disruptions: Political instability flag; Tariff adjustment pending; Seasonal flood risk; Regulatory enforcement pending"
"Supplier Summary: Solveig Eco Packaging | ID: SUP-056 | Region: EMEA | Country: Sweden | Tier: Tier-1 | Risk Level: Low | Compliance Score: 82 | Sustainability Score: 75 | Avg OTD Rate: 94.0% | Avg Defect Rate: 0.94% | Total PO Value: $306,239.11 | Total POs: 17 | Certifications: FSC;ISO14001;ISO9001 | Active Disruptions: Port congestion risk; Regulatory audit pending; Tariff adjustment pending"
"Supplier Summary: Straits Packaging Hub | ID: SUP-037 | Region: APAC | Country: Singapore | Tier: Tier-1 | Risk Level: High | Compliance Score: 93 | Sustainability Score: 96 | Avg OTD Rate: 93.4% | Avg Defect Rate: 0.96% | Total PO Value: $357,752.13 | Total POs: 17 | Certifications: ISO9001;ISO14001 | Active Disruptions: Political instability flag; Seasonal flood risk; Tariff adjustment pending; Geopolitical tension flag"
"Supplier Summary: Tasman Circuit Boards | ID: SUP-043 | Region: APAC | Country: Australia | Tier: Tier-1 | Risk Level: Medium | Compliance Score: 91 | Sustainability Score: 77 | Avg OTD Rate: 94.6% | Avg Defect Rate: 1.19% | Total PO Value: $1,162,467.22 | Total POs: 17 | Certifications: ISO9001;AEC-Q100;RoHS | Active Disruptions: Geopolitical tension flag; Tariff adjustment pending; Regulatory audit pending"
"Supplier Summary: Tecovar Industrial Textiles | ID: SUP-086 | Region: LATAM | Country: Mexico | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 80 | Sustainability Score: 54 | Avg OTD Rate: 86.7% | Avg Defect Rate: 1.92% | Total PO Value: $1,958,107.99 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Typhoon season disruption; Currency volatility flag; Port congestion risk; Export license risk; Geopolitical tension flag; Regulatory audit pending"
"Supplier Summary: Texarkana Fiber Inc | ID: SUP-110 | Region: AMER | Country: USA | Tier: Tier-2 | Risk Level: High | Compliance Score: 83 | Sustainability Score: 57 | Avg OTD Rate: 85.5% | Avg Defect Rate: 1.81% | Total PO Value: $1,523,184.03 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Labour strike risk; Regulatory audit pending; Port congestion risk; Currency volatility flag; Tariff adjustment pending; Seasonal flood risk"
"Supplier Summary: Tianhe Alloy Group | ID: SUP-009 | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 86 | Sustainability Score: 77 | Avg OTD Rate: 87.0% | Avg Defect Rate: 1.88% | Total PO Value: $8,739,796.90 | Total POs: 18 | Certifications: ISO9001 | Active Disruptions: Seasonal flood risk; Political instability flag; Regulatory audit pending; Geopolitical tension flag; Export license risk; Port congestion risk; Audit overdue; compliance review"
"Supplier Summary: Toreval Electronics | ID: SUP-051 | Region: EMEA | Country: France | Tier: Tier-1 | Risk Level: Low | Compliance Score: 86 | Sustainability Score: 80 | Avg OTD Rate: 93.7% | Avg Defect Rate: 0.74% | Total PO Value: $943,358.32 | Total POs: 17 | Certifications: ISO9001;AEC-Q100;RoHS | Active Disruptions: Tariff adjustment pending; Port congestion risk; Audit overdue; compliance review; Currency volatility flag"
"Supplier Summary: Valdoro Special Alloys | ID: SUP-066 | Region: EMEA | Country: Italy | Tier: Tier-1 | Risk Level: Low | Compliance Score: 89 | Sustainability Score: 96 | Avg OTD Rate: 94.5% | Avg Defect Rate: 0.88% | Total PO Value: $2,790,200.18 | Total POs: 17 | Certifications: ISO9001;ISO14001;NADCAP | Active Disruptions: Typhoon season disruption; Port closure risk; Port congestion risk; Audit overdue; compliance review; Regulatory audit pending"
"Supplier Summary: Varna Electronics EAD | ID: SUP-078 | Region: EMEA | Country: Bulgaria | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 58 | Sustainability Score: 64 | Avg OTD Rate: 74.4% | Avg Defect Rate: 2.64% | Total PO Value: $4,647,913.60 | Total POs: 17 | Certifications: ISO9001;RoHS | Active Disruptions: Port congestion risk; Political instability flag; Port closure risk; Regulatory audit pending; Regulatory enforcement pending; Labour strike risk; Tariff adjustment pending; Typhoon season disruption"
"Supplier Summary: Veltara Packing Solutions | ID: SUP-082 | Region: LATAM | Country: Brazil | Tier: Tier-2 | Risk Level: Low | Compliance Score: 70 | Sustainability Score: 77 | Avg OTD Rate: 85.3% | Avg Defect Rate: 1.56% | Total PO Value: $916,686.63 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Regulatory enforcement pending; Tariff adjustment pending; Audit overdue; compliance review; Geopolitical tension flag; Port closure risk; Currency volatility flag; Port congestion risk; Regulatory audit pending"
"Supplier Summary: Visayas Textile Co | ID: SUP-042 | Region: APAC | Country: Philippines | Tier: Tier-3 | Risk Level: Medium | Compliance Score: 60 | Sustainability Score: 43 | Avg OTD Rate: 76.0% | Avg Defect Rate: 2.97% | Total PO Value: $2,723,402.89 | Total POs: 17 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Port congestion risk; Regulatory enforcement pending; Regulatory audit pending; Geopolitical tension flag; Currency volatility flag; Tariff adjustment pending; Export license risk; Port closure risk"
"Supplier Summary: Vistula Pack Sp | ID: SUP-075 | Region: EMEA | Country: Poland | Tier: Tier-3 | Risk Level: High | Compliance Score: 70 | Sustainability Score: 42 | Avg OTD Rate: 72.5% | Avg Defect Rate: 3.20% | Total PO Value: $1,177,759.34 | Total POs: 17 | Certifications: FSC;ISO9001 | Active Disruptions: Regulatory enforcement pending; Port closure risk; Regulatory audit pending; Tariff adjustment pending; Audit overdue; compliance review; Geopolitical tension flag; Currency volatility flag; Seasonal flood risk; Export license risk; Typhoon season disruption; Labour strike risk"
"Supplier Summary: Wanlong Composites Ltd | ID: SUP-003 | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: High | Compliance Score: 71 | Sustainability Score: 61 | Avg OTD Rate: 88.0% | Avg Defect Rate: 1.79% | Total PO Value: $6,882,034.93 | Total POs: 18 | Certifications: ISO9001 | Active Disruptions: Audit overdue; compliance review; Regulatory enforcement pending; Seasonal flood risk; Port closure risk; Currency volatility flag; Tariff adjustment pending"
"Supplier Summary: Wiener Alloy GmbH | ID: SUP-065 | Region: EMEA | Country: Austria | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 84 | Sustainability Score: 57 | Avg OTD Rate: 86.2% | Avg Defect Rate: 1.71% | Total PO Value: $8,141,932.49 | Total POs: 17 | Certifications: ISO9001;NADCAP | Active Disruptions: Port congestion risk; Typhoon season disruption; Geopolitical tension flag; Export license risk"
"Supplier Summary: Yangtze Fiber Materials | ID: SUP-004 | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 79 | Sustainability Score: 53 | Avg OTD Rate: 87.5% | Avg Defect Rate: 1.62% | Total PO Value: $1,429,755.28 | Total POs: 18 | Certifications: OEKO-TEX;ISO9001 | Active Disruptions: Geopolitical tension flag; Audit overdue; compliance review; Currency volatility flag; Regulatory audit pending; Seasonal flood risk; Regulatory enforcement pending"
"Supplier Summary: Yucatan Polymer Mfg | ID: SUP-089 | Region: LATAM | Country: Mexico | Tier: Tier-3 | Risk Level: High | Compliance Score: 53 | Sustainability Score: 53 | Avg OTD Rate: 72.3% | Avg Defect Rate: 3.08% | Total PO Value: $8,442,197.70 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Port closure risk; Labour strike risk; Currency volatility flag; Geopolitical tension flag; Seasonal flood risk; Tariff adjustment pending; Typhoon season disruption"
"Supplier Summary: Yulon Alloy Mfg | ID: SUP-035 | Region: APAC | Country: Taiwan | Tier: Tier-2 | Risk Level: Low | Compliance Score: 80 | Sustainability Score: 84 | Avg OTD Rate: 87.8% | Avg Defect Rate: 1.95% | Total PO Value: $7,576,863.87 | Total POs: 17 | Certifications: ISO9001 | Active Disruptions: Seasonal flood risk; Tariff adjustment pending; Typhoon season disruption; Port congestion risk; Regulatory audit pending; Port closure risk; Political instability flag; Geopolitical tension flag"
"Supplier Summary: Zhenlong ElectroCo | ID: SUP-002 | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Medium | Compliance Score: 84 | Sustainability Score: 60 | Avg OTD Rate: 84.9% | Avg Defect Rate: 1.56% | Total PO Value: $3,923,690.41 | Total POs: 18 | Certifications: ISO9001;RoHS | Active Disruptions: Regulatory audit pending; Seasonal flood risk; Tariff adjustment pending; Geopolitical tension flag; Port congestion risk; Typhoon season disruption; Labour strike risk"
