text_chunk
"Purchase Order PO-10001 | Supplier: Orrentek Precision Mfg (ID: SUP-001) | Region: APAC | Country: China | Tier: Tier-1 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1001 | PO Value: $70,121.14 | Units Ordered: 9013 | Units Delivered On Time: 8598 | Units Rejected: 12 | OTD Rate: 95.4% | Defect Rate: 0.14% | Compliance Score: 88 | Sustainability Score: 77 | Lead Time: 14 days | Certifications: ISO9001;ISO14001;RoHS | Last Audit: 2023-08-12 | Active Disruption: No active disruption | Quarter: Q1-2023"
"Purchase Order PO-10434 | Supplier: Tecovar Industrial Textiles (ID: SUP-086) | Region: LATAM | Country: Mexico | Tier: Tier-2 | Risk Level: Medium | Product Category: Industrial Textiles | SKU: SKU-IT-1059 | PO Value: $22,473.60 | Units Ordered: 7023 | Units Delivered On Time: 6229 | Units Rejected: 141 | OTD Rate: 88.7% | Defect Rate: 2.02% | Compliance Score: 85 | Sustainability Score: 51 | Lead Time: 21 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2023-05-16 | Active Disruption: No active disruption | Quarter: Q1-2024"
"Purchase Order PO-10435 | Supplier: Guadalajara Mold Co (ID: SUP-087) | Region: LATAM | Country: Mexico | Tier: Tier-2 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1073 | PO Value: $105,338.07 | Units Ordered: 16281 | Units Delivered On Time: 14408 | Units Rejected: 190 | OTD Rate: 88.5% | Defect Rate: 1.17% | Compliance Score: 75 | Sustainability Score: 48 | Lead Time: 31 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-08-30 | Active Disruption: Port congestion risk | Quarter: Q3-2023"
"Purchase Order PO-10436 | Supplier: Monterrey Pack Sa (ID: SUP-088) | Region: LATAM | Country: Mexico | Tier: Tier-2 | Risk Level: High | Product Category: Packaging Materials | SKU: SKU-PM-1094 | PO Value: $52,903.92 | Units Ordered: 19308 | Units Delivered On Time: 16643 | Units Rejected: 509 | OTD Rate: 86.2% | Defect Rate: 2.64% | Compliance Score: 68 | Sustainability Score: 69 | Lead Time: 42 days | Certifications: FSC;ISO9001 | Last Audit: 2023-09-01 | Active Disruption: Regulatory enforcement pending | Quarter: Q3-2024"
"Purchase Order PO-10437 | Supplier: Yucatan Polymer Mfg (ID: SUP-089) | Region: LATAM | Country: Mexico | Tier: Tier-3 | Risk Level: High | Product Category: Raw Materials | SKU: SKU-RM-1077 | PO Value: $204,016.88 | Units Ordered: 19846 | Units Delivered On Time: 15440 | Units Rejected: 714 | OTD Rate: 77.8% | Defect Rate: 3.6% | Compliance Score: 55 | Sustainability Score: 43 | Lead Time: 40 days | Certifications: ISO9001 | Last Audit: 2024-05-02 | Active Disruption: Labour strike risk | Quarter: Q4-2024"
"Purchase Order PO-10438 | Supplier: Plataforma Metales Sa (ID: SUP-090) | Region: LATAM | Country: Argentina | Tier: Tier-3 | Risk Level: Medium | Product Category: Raw Materials | SKU: SKU-RM-1078 | PO Value: $401,156.80 | Units Ordered: 45586 | Units Delivered On Time: 31044 | Units Rejected: 1668 | OTD Rate: 68.1% | Defect Rate: 3.66% | Compliance Score: 74 | Sustainability Score: 64 | Lead Time: 42 days | Certifications: ISO9001 | Last Audit: 2023-11-20 | Active Disruption: No active disruption | Quarter: Q4-2024"
"Purchase Order PO-10439 | Supplier: Patagonia Alloys Srl (ID: SUP-091) | Region: LATAM | Country: Argentina | Tier: Tier-3 | Risk Level: High | Product Category: Specialty Alloys | SKU: SKU-SA-1072 | PO Value: $2,318,966.24 | Units Ordered: 71728 | Units Delivered On Time: 61686 | Units Rejected: 2474 | OTD Rate: 86.0% | Defect Rate: 3.45% | Compliance Score: 51 | Sustainability Score: 36 | Lead Time: 40 days | Certifications: ISO9001 | Last Audit: 2023-04-11 | Active Disruption: Audit overdue; compliance review | Quarter: Q1-2024"
"Purchase Order PO-10440 | Supplier: Buenos Aires Pack (ID: SUP-092) | Region: LATAM | Country: Argentina | Tier: Tier-3 | Risk Level: High | Product Category: Packaging Materials | SKU: SKU-PM-1095 | PO Value: $66,200.42 | Units Ordered: 23147 | Units Delivered On Time: 15485 | Units Rejected: 724 | OTD Rate: 66.9% | Defect Rate: 3.13% | Compliance Score: 64 | Sustainability Score: 45 | Lead Time: 30 days | Certifications: ISO9001 | Last Audit: 2023-03-11 | Active Disruption: Audit overdue; compliance review | Quarter: Q1-2023"
"Purchase Order PO-10441 | Supplier: Andino Fiber Corp (ID: SUP-093) | Region: LATAM | Country: Colombia | Tier: Tier-2 | Risk Level: Medium | Product Category: Industrial Textiles | SKU: SKU-IT-1060 | PO Value: $41,610.24 | Units Ordered: 19264 | Units Delivered On Time: 15064 | Units Rejected: 129 | OTD Rate: 78.2% | Defect Rate: 0.67% | Compliance Score: 70 | Sustainability Score: 76 | Lead Time: 35 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2023-05-03 | Active Disruption: No active disruption | Quarter: Q4-2023"
"Purchase Order PO-10442 | Supplier: Bogota Pack Ltda (ID: SUP-094) | Region: LATAM | Country: Colombia | Tier: Tier-3 | Risk Level: High | Product Category: Packaging Materials | SKU: SKU-PM-1096 | PO Value: $76,923.85 | Units Ordered: 34495 | Units Delivered On Time: 21490 | Units Rejected: 1103 | OTD Rate: 62.3% | Defect Rate: 3.2% | Compliance Score: 62 | Sustainability Score: 41 | Lead Time: 29 days | Certifications: FSC;ISO9001 | Last Audit: 2023-09-21 | Active Disruption: Regulatory enforcement pending | Quarter: Q3-2024"
"Purchase Order PO-10443 | Supplier: Cerromax Mineria (ID: SUP-095) | Region: LATAM | Country: Peru | Tier: Tier-3 | Risk Level: Medium | Product Category: Raw Materials | SKU: SKU-RM-1079 | PO Value: $221,698.91 | Units Ordered: 13543 | Units Delivered On Time: 8721 | Units Rejected: 195 | OTD Rate: 64.4% | Defect Rate: 1.44% | Compliance Score: 74 | Sustainability Score: 33 | Lead Time: 39 days | Certifications: ISO9001 | Last Audit: 2024-09-16 | Active Disruption: Tariff adjustment pending | Quarter: Q4-2024"
"Purchase Order PO-10444 | Supplier: Lima Polymer Sa (ID: SUP-096) | Region: LATAM | Country: Peru | Tier: Tier-3 | Risk Level: High | Product Category: Raw Materials | SKU: SKU-RM-1080 | PO Value: $267,387.86 | Units Ordered: 16934 | Units Delivered On Time: 11955 | Units Rejected: 563 | OTD Rate: 70.6% | Defect Rate: 3.33% | Compliance Score: 53 | Sustainability Score: 39 | Lead Time: 45 days | Certifications: ISO9001 | Last Audit: 2023-03-14 | Active Disruption: Typhoon season disruption | Quarter: Q1-2023"
"Purchase Order PO-10445 | Supplier: Amapola Fibras (ID: SUP-097) | Region: LATAM | Country: Chile | Tier: Tier-2 | Risk Level: High | Product Category: Industrial Textiles | SKU: SKU-IT-1061 | PO Value: $24,937.50 | Units Ordered: 6250 | Units Delivered On Time: 5481 | Units Rejected: 68 | OTD Rate: 87.7% | Defect Rate: 1.1% | Compliance Score: 81 | Sustainability Score: 49 | Lead Time: 16 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2024-05-17 | Active Disruption: Audit overdue; compliance review | Quarter: Q1-2023"
"Purchase Order PO-10446 | Supplier: Cobre Del Sur Sa (ID: SUP-098) | Region: LATAM | Country: Chile | Tier: Tier-2 | Risk Level: Medium | Product Category: Specialty Alloys | SKU: SKU-SA-1073 | PO Value: $983,002.56 | Units Ordered: 36448 | Units Delivered On Time: 31381 | Units Rejected: 557 | OTD Rate: 86.1% | Defect Rate: 1.53% | Compliance Score: 90 | Sustainability Score: 52 | Lead Time: 12 days | Certifications: ISO9001 | Last Audit: 2023-11-07 | Active Disruption: Seasonal flood risk | Quarter: Q2-2024"
"Purchase Order PO-10447 | Supplier: Santiago Pack Corp (ID: SUP-099) | Region: LATAM | Country: Chile | Tier: Tier-2 | Risk Level: Medium | Product Category: Packaging Materials | SKU: SKU-PM-1097 | PO Value: $76,622.70 | Units Ordered: 24717 | Units Delivered On Time: 20960 | Units Rejected: 536 | OTD Rate: 84.8% | Defect Rate: 2.17% | Compliance Score: 87 | Sustainability Score: 53 | Lead Time: 39 days | Certifications: FSC;ISO9001 | Last Audit: 2024-07-21 | Active Disruption: Port congestion risk | Quarter: Q4-2023"
"Purchase Order PO-10448 | Supplier: Orinoco Pack Sapi (ID: SUP-100) | Region: LATAM | Country: Venezuela | Tier: Tier-3 | Risk Level: High | Product Category: Packaging Materials | SKU: SKU-PM-1098 | PO Value: $31,191.56 | Units Ordered: 29426 | Units Delivered On Time: 17979 | Units Rejected: 726 | OTD Rate: 61.1% | Defect Rate: 2.47% | Compliance Score: 56 | Sustainability Score: 49 | Lead Time: 24 days | Certifications: ISO9001 | Last Audit: 2023-01-26 | Active Disruption: Political instability flag | Quarter: Q1-2023"
"Purchase Order PO-10449 | Supplier: Quetzal Textiles (ID: SUP-101) | Region: LATAM | Country: Guatemala | Tier: Tier-3 | Risk Level: Low | Product Category: Industrial Textiles | SKU: SKU-IT-1062 | PO Value: $158,601.50 | Units Ordered: 37318 | Units Delivered On Time: 29630 | Units Rejected: 1179 | OTD Rate: 79.4% | Defect Rate: 3.16% | Compliance Score: 65 | Sustainability Score: 54 | Lead Time: 52 days | Certifications: ISO9001 | Last Audit: 2023-02-27 | Active Disruption: No active disruption | Quarter: Q1-2023"
"Purchase Order PO-10450 | Supplier: Crestline Chemical Supply (ID: SUP-102) | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Low | Product Category: Raw Materials | SKU: SKU-RM-1081 | PO Value: $90,091.26 | Units Ordered: 5334 | Units Delivered On Time: 4901 | Units Rejected: 70 | OTD Rate: 91.9% | Defect Rate: 1.33% | Compliance Score: 92 | Sustainability Score: 73 | Lead Time: 41 days | Certifications: ISO9001;ISO14001;OSHA | Last Audit: 2023-02-07 | Active Disruption: No active disruption | Quarter: Q4-2023"
"Purchase Order PO-10451 | Supplier: Fenwick Alloy Solutions (ID: SUP-103) | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: High | Product Category: Specialty Alloys | SKU: SKU-SA-1074 | PO Value: $123,970.00 | Units Ordered: 6125 | Units Delivered On Time: 5910 | Units Rejected: 56 | OTD Rate: 96.5% | Defect Rate: 0.93% | Compliance Score: 80 | Sustainability Score: 85 | Lead Time: 10 days | Certifications: ISO9001;NADCAP;AS9100 | Last Audit: 2024-09-17 | Active Disruption: Labour strike risk | Quarter: Q2-2023"
"Purchase Order PO-10452 | Supplier: Ridgecroft Textiles (ID: SUP-104) | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Low | Product Category: Industrial Textiles | SKU: SKU-IT-1063 | PO Value: $5,497.80 | Units Ordered: 2244 | Units Delivered On Time: 2019 | Units Rejected: 24 | OTD Rate: 90.0% | Defect Rate: 1.1% | Compliance Score: 83 | Sustainability Score: 73 | Lead Time: 22 days | Certifications: OEKO-TEX;ISO9001;OSHA | Last Audit: 2023-05-04 | Active Disruption: No active disruption | Quarter: Q3-2024"
"Purchase Order PO-10453 | Supplier: Lakeshore Components (ID: SUP-105) | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1074 | PO Value: $3,754.77 | Units Ordered: 1461 | Units Delivered On Time: 1449 | Units Rejected: 15 | OTD Rate: 99.2% | Defect Rate: 1.08% | Compliance Score: 84 | Sustainability Score: 80 | Lead Time: 21 days | Certifications: ISO9001;IATF16949;OSHA | Last Audit: 2024-01-14 | Active Disruption: Port congestion risk | Quarter: Q3-2024"
"Purchase Order PO-10454 | Supplier: Bluemesa Polymers (ID: SUP-106) | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Low | Product Category: Raw Materials | SKU: SKU-RM-1082 | PO Value: $95,113.05 | Units Ordered: 6555 | Units Delivered On Time: 6187 | Units Rejected: 55 | OTD Rate: 94.4% | Defect Rate: 0.85% | Compliance Score: 98 | Sustainability Score: 71 | Lead Time: 32 days | Certifications: ISO9001;ISO14001;OSHA | Last Audit: 2023-10-18 | Active Disruption: No active disruption | Quarter: Q2-2023"
"Purchase Order PO-10455 | Supplier: Cascade Pack Corp (ID: SUP-107) | Region: AMER | Country: USA | Tier: Tier-1 | Risk Level: Low | Product Category: Packaging Materials | SKU: SKU-PM-1099 | PO Value: $23,424.17 | Units Ordered: 11539 | Units Delivered On Time: 10708 | Units Rejected: 169 | OTD Rate: 92.8% | Defect Rate: 1.47% | Compliance Score: 95 | Sustainability Score: 92 | Lead Time: 17 days | Certifications: FSC;ISO14001;ISO9001 | Last Audit: 2024-05-26 | Active Disruption: No active disruption | Quarter: Q1-2023"
"Purchase Order PO-10456 | Supplier: Appalachian Alloys (ID: SUP-108) | Region: AMER | Country: USA | Tier: Tier-2 | Risk Level: Medium | Product Category: Specialty Alloys | SKU: SKU-SA-1075 | PO Value: $549,715.30 | Units Ordered: 37990 | Units Delivered On Time: 33583 | Units Rejected: 246 | OTD Rate: 88.4% | Defect Rate: 0.65% | Compliance Score: 92 | Sustainability Score: 67 | Lead Time: 12 days | Certifications: ISO9001;NADCAP | Last Audit: 2024-07-06 | Active Disruption: No active disruption | Quarter: Q2-2024"
"Purchase Order PO-10457 | Supplier: Gulf Coast Mech (ID: SUP-109) | Region: AMER | Country: USA | Tier: Tier-2 | Risk Level: Low | Product Category: Mechanical Components | SKU: SKU-MC-1075 | PO Value: $34,747.86 | Units Ordered: 10927 | Units Delivered On Time: 9462 | Units Rejected: 185 | OTD Rate: 86.6% | Defect Rate: 1.7% | Compliance Score: 87 | Sustainability Score: 61 | Lead Time: 18 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-02-14 | Active Disruption: No active disruption | Quarter: Q3-2023"
"Purchase Order PO-10458 | Supplier: Texarkana Fiber Inc (ID: SUP-110) | Region: AMER | Country: USA | Tier: Tier-2 | Risk Level: Low | Product Category: Industrial Textiles | SKU: SKU-IT-1064 | PO Value: $35,628.80 | Units Ordered: 18752 | Units Delivered On Time: 14795 | Units Rejected: 266 | OTD Rate: 78.9% | Defect Rate: 1.42% | Compliance Score: 73 | Sustainability Score: 75 | Lead Time: 31 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2024-05-11 | Active Disruption: No active disruption | Quarter: Q3-2023"
"Purchase Order PO-10459 | Supplier: Ohio Valley Electronics (ID: SUP-111) | Region: AMER | Country: USA | Tier: Tier-2 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1064 | PO Value: $339,501.60 | Units Ordered: 37104 | Units Delivered On Time: 32206 | Units Rejected: 222 | OTD Rate: 86.8% | Defect Rate: 0.6% | Compliance Score: 74 | Sustainability Score: 76 | Lead Time: 22 days | Certifications: ISO9001;RoHS | Last Audit: 2023-08-22 | Active Disruption: No active disruption | Quarter: Q2-2023"
"Purchase Order PO-10460 | Supplier: Maplewood Polymer Corp (ID: SUP-112) | Region: nan | Country: Canada | Tier: Tier-1 | Risk Level: Medium | Product Category: Raw Materials | SKU: SKU-RM-1083 | PO Value: $96,934.25 | Units Ordered: 7175 | Units Delivered On Time: 6392 | Units Rejected: 96 | OTD Rate: 89.1% | Defect Rate: 1.35% | Compliance Score: 86 | Sustainability Score: 82 | Lead Time: 12 days | Certifications: ISO9001;ISO14001;REACH | Last Audit: 2024-02-01 | Active Disruption: No active disruption | Quarter: Q4-2024"
"Purchase Order PO-10461 | Supplier: Pinnacle Resin Co (ID: SUP-113) | Region: nan | Country: Canada | Tier: Tier-2 | Risk Level: High | Product Category: Raw Materials | SKU: SKU-RM-1084 | PO Value: $288,504.45 | Units Ordered: 43515 | Units Delivered On Time: 36683 | Units Rejected: 731 | OTD Rate: 84.3% | Defect Rate: 1.68% | Compliance Score: 73 | Sustainability Score: 70 | Lead Time: 18 days | Certifications: ISO9001;REACH | Last Audit: 2024-04-14 | Active Disruption: Typhoon season disruption | Quarter: Q2-2023"
"Purchase Order PO-10462 | Supplier: Rockies Pack Inc (ID: SUP-114) | Region: nan | Country: Canada | Tier: Tier-2 | Risk Level: Medium | Product Category: Packaging Materials | SKU: SKU-PM-1100 | PO Value: $51,896.40 | Units Ordered: 14660 | Units Delivered On Time: 12475 | Units Rejected: 370 | OTD Rate: 85.1% | Defect Rate: 2.53% | Compliance Score: 74 | Sustainability Score: 66 | Lead Time: 37 days | Certifications: FSC;ISO9001 | Last Audit: 2024-08-28 | Active Disruption: No active disruption | Quarter: Q4-2024"
"Purchase Order PO-10463 | Supplier: Caribou Alloy Works (ID: SUP-115) | Region: nan | Country: Canada | Tier: Tier-2 | Risk Level: Medium | Product Category: Specialty Alloys | SKU: SKU-SA-1076 | PO Value: $435,704.70 | Units Ordered: 23809 | Units Delivered On Time: 20475 | Units Rejected: 404 | OTD Rate: 86.0% | Defect Rate: 1.7% | Compliance Score: 67 | Sustainability Score: 75 | Lead Time: 19 days | Certifications: ISO9001;NADCAP | Last Audit: 2023-02-15 | Active Disruption: Seasonal flood risk | Quarter: Q1-2023"
"Purchase Order PO-10464 | Supplier: Prairie Mech Corp (ID: SUP-116) | Region: nan | Country: Canada | Tier: Tier-2 | Risk Level: Low | Product Category: Mechanical Components | SKU: SKU-MC-1076 | PO Value: $213,860.51 | Units Ordered: 30683 | Units Delivered On Time: 24147 | Units Rejected: 527 | OTD Rate: 78.7% | Defect Rate: 1.72% | Compliance Score: 91 | Sustainability Score: 80 | Lead Time: 28 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-03-27 | Active Disruption: No active disruption | Quarter: Q4-2024"
"Purchase Order PO-10465 | Supplier: Orrentek Precision Mfg (ID: SUP-001) | Region: APAC | Country: China | Tier: Tier-1 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1065 | PO Value: $65,926.28 | Units Ordered: 8119 | Units Delivered On Time: 7664 | Units Rejected: 9 | OTD Rate: 94.4% | Defect Rate: 0.12% | Compliance Score: 93 | Sustainability Score: 76 | Lead Time: 26 days | Certifications: ISO9001;ISO14001;RoHS | Last Audit: 2024-04-15 | Active Disruption: No active disruption | Quarter: Q3-2023"
"Purchase Order PO-10466 | Supplier: Zhenlong Electroco (ID: SUP-002) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1066 | PO Value: $451,707.93 | Units Ordered: 56393 | Units Delivered On Time: 52219 | Units Rejected: 1404 | OTD Rate: 92.6% | Defect Rate: 2.49% | Compliance Score: 67 | Sustainability Score: 77 | Lead Time: 16 days | Certifications: ISO9001;RoHS | Last Audit: 2023-03-14 | Active Disruption: Tariff adjustment pending | Quarter: Q1-2023"
"Purchase Order PO-10467 | Supplier: Wanlong Composites Ltd (ID: SUP-003) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Low | Product Category: Raw Materials | SKU: SKU-RM-1085 | PO Value: $556,714.06 | Units Ordered: 31171 | Units Delivered On Time: 26339 | Units Rejected: 726 | OTD Rate: 84.5% | Defect Rate: 2.33% | Compliance Score: 83 | Sustainability Score: 50 | Lead Time: 36 days | Certifications: ISO9001 | Last Audit: 2023-12-10 | Active Disruption: No active disruption | Quarter: Q2-2023"
"Purchase Order PO-10468 | Supplier: Yangtze Fiber Materials (ID: SUP-004) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: High | Product Category: Industrial Textiles | SKU: SKU-IT-1065 | PO Value: $155,942.88 | Units Ordered: 51297 | Units Delivered On Time: 46423 | Units Rejected: 282 | OTD Rate: 90.5% | Defect Rate: 0.55% | Compliance Score: 88 | Sustainability Score: 71 | Lead Time: 15 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2023-07-29 | Active Disruption: Audit overdue; compliance review | Quarter: Q2-2023"
"Purchase Order PO-10469 | Supplier: Huabei Circuit Systems (ID: SUP-005) | Region: APAC | Country: China | Tier: Tier-1 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1067 | PO Value: $14,186.84 | Units Ordered: 2692 | Units Delivered On Time: 2412 | Units Rejected: 18 | OTD Rate: 89.6% | Defect Rate: 0.67% | Compliance Score: 97 | Sustainability Score: 73 | Lead Time: 21 days | Certifications: ISO9001;AEC-Q100;RoHS | Last Audit: 2023-03-06 | Active Disruption: Geopolitical tension flag | Quarter: Q1-2024"
"Purchase Order PO-10470 | Supplier: Dongfeng Castings Co (ID: SUP-006) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: High | Product Category: Mechanical Components | SKU: SKU-MC-1077 | PO Value: $538,882.50 | Units Ordered: 71851 | Units Delivered On Time: 60570 | Units Rejected: 1199 | OTD Rate: 84.3% | Defect Rate: 1.67% | Compliance Score: 83 | Sustainability Score: 81 | Lead Time: 27 days | Certifications: ISO9001;IATF16949 | Last Audit: 2023-03-09 | Active Disruption: Regulatory enforcement pending | Quarter: Q2-2024"
"Purchase Order PO-10471 | Supplier: Longhua Polymer Works (ID: SUP-007) | Region: APAC | Country: China | Tier: Tier-3 | Risk Level: Medium | Product Category: Raw Materials | SKU: SKU-RM-1086 | PO Value: $167,266.56 | Units Ordered: 24312 | Units Delivered On Time: 15827 | Units Rejected: 1001 | OTD Rate: 65.1% | Defect Rate: 4.12% | Compliance Score: 52 | Sustainability Score: 35 | Lead Time: 29 days | Certifications: ISO9001 | Last Audit: 2023-07-29 | Active Disruption: Geopolitical tension flag | Quarter: Q4-2024"
"Purchase Order PO-10472 | Supplier: Shengda Pack Industries (ID: SUP-008) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: High | Product Category: Packaging Materials | SKU: SKU-PM-1101 | PO Value: $13,672.44 | Units Ordered: 8388 | Units Delivered On Time: 7289 | Units Rejected: 181 | OTD Rate: 86.9% | Defect Rate: 2.16% | Compliance Score: 76 | Sustainability Score: 74 | Lead Time: 29 days | Certifications: FSC;ISO9001 | Last Audit: 2023-01-23 | Active Disruption: Labour strike risk | Quarter: Q4-2023"
"Purchase Order PO-10473 | Supplier: Tianhe Alloy Group (ID: SUP-009) | Region: APAC | Country: China | Tier: Tier-2 | Risk Level: Medium | Product Category: Specialty Alloys | SKU: SKU-SA-1077 | PO Value: $1,045,894.43 | Units Ordered: 42707 | Units Delivered On Time: 39632 | Units Rejected: 448 | OTD Rate: 92.8% | Defect Rate: 1.05% | Compliance Score: 83 | Sustainability Score: 69 | Lead Time: 22 days | Certifications: ISO9001 | Last Audit: 2023-11-08 | Active Disruption: Regulatory audit pending | Quarter: Q4-2024"
"Purchase Order PO-10474 | Supplier: Bohai Electronics (ID: SUP-010) | Region: APAC | Country: China | Tier: Tier-3 | Risk Level: High | Product Category: Electronic Components | SKU: SKU-EC-1068 | PO Value: $406,496.16 | Units Ordered: 39504 | Units Delivered On Time: 29746 | Units Rejected: 1643 | OTD Rate: 75.3% | Defect Rate: 4.16% | Compliance Score: 59 | Sustainability Score: 40 | Lead Time: 32 days | Certifications: ISO9001;RoHS | Last Audit: 2024-04-11 | Active Disruption: Labour strike risk | Quarter: Q2-2024"
"Purchase Order PO-10475 | Supplier: Dravex Components India (ID: SUP-011) | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1078 | PO Value: $70,001.36 | Units Ordered: 24476 | Units Delivered On Time: 21000 | Units Rejected: 793 | OTD Rate: 85.8% | Defect Rate: 3.24% | Compliance Score: 55 | Sustainability Score: 64 | Lead Time: 29 days | Certifications: ISO9001 | Last Audit: 2023-09-24 | Active Disruption: Port congestion risk | Quarter: Q3-2023"
"Purchase Order PO-10476 | Supplier: Bharat Precision Works (ID: SUP-012) | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1079 | PO Value: $40,077.49 | Units Ordered: 7663 | Units Delivered On Time: 6459 | Units Rejected: 74 | OTD Rate: 84.3% | Defect Rate: 0.97% | Compliance Score: 89 | Sustainability Score: 50 | Lead Time: 23 days | Certifications: ISO9001;IATF16949 | Last Audit: 2024-02-19 | Active Disruption: Seasonal flood risk | Quarter: Q2-2023"
"Purchase Order PO-10477 | Supplier: Indotech Fab Ltd (ID: SUP-013) | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Low | Product Category: Electronic Components | SKU: SKU-EC-1069 | PO Value: $411,760.80 | Units Ordered: 69320 | Units Delivered On Time: 65022 | Units Rejected: 1767 | OTD Rate: 93.8% | Defect Rate: 2.55% | Compliance Score: 81 | Sustainability Score: 68 | Lead Time: 35 days | Certifications: ISO9001;RoHS | Last Audit: 2024-08-10 | Active Disruption: No active disruption | Quarter: Q1-2024"
"Purchase Order PO-10478 | Supplier: Deccan Polymer Mfg (ID: SUP-014) | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: Medium | Product Category: Raw Materials | SKU: SKU-RM-1087 | PO Value: $484,418.88 | Units Ordered: 61164 | Units Delivered On Time: 47707 | Units Rejected: 2348 | OTD Rate: 78.0% | Defect Rate: 3.84% | Compliance Score: 73 | Sustainability Score: 58 | Lead Time: 25 days | Certifications: ISO9001 | Last Audit: 2023-08-14 | Active Disruption: Port congestion risk | Quarter: Q3-2024"
"Purchase Order PO-10479 | Supplier: Narmada Pack Solutions (ID: SUP-015) | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Medium | Product Category: Packaging Materials | SKU: SKU-PM-1102 | PO Value: $160,878.25 | Units Ordered: 54535 | Units Delivered On Time: 46681 | Units Rejected: 359 | OTD Rate: 85.6% | Defect Rate: 0.66% | Compliance Score: 68 | Sustainability Score: 86 | Lead Time: 30 days | Certifications: FSC;ISO9001 | Last Audit: 2024-04-01 | Active Disruption: No active disruption | Quarter: Q2-2023"
"Purchase Order PO-10480 | Supplier: Konkan Textile Mills (ID: SUP-016) | Region: APAC | Country: India | Tier: Tier-2 | Risk Level: Low | Product Category: Industrial Textiles | SKU: SKU-IT-1066 | PO Value: $214,930.00 | Units Ordered: 42986 | Units Delivered On Time: 38472 | Units Rejected: 1323 | OTD Rate: 89.5% | Defect Rate: 3.08% | Compliance Score: 83 | Sustainability Score: 73 | Lead Time: 22 days | Certifications: OEKO-TEX;ISO9001 | Last Audit: 2024-01-31 | Active Disruption: No active disruption | Quarter: Q3-2024"
"Purchase Order PO-10481 | Supplier: Sahyadri Alloy Tech (ID: SUP-017) | Region: APAC | Country: India | Tier: Tier-3 | Risk Level: High | Product Category: Specialty Alloys | SKU: SKU-SA-1078 | PO Value: $996,871.86 | Units Ordered: 39843 | Units Delivered On Time: 27929 | Units Rejected: 852 | OTD Rate: 70.1% | Defect Rate: 2.14% | Compliance Score: 61 | Sustainability Score: 49 | Lead Time: 23 days | Certifications: ISO9001 | Last Audit: 2024-02-29 | Active Disruption: Regulatory enforcement pending | Quarter: Q3-2023"
"Purchase Order PO-10482 | Supplier: Deltaforge Vietnam (ID: SUP-018) | Region: APAC | Country: Vietnam | Tier: Tier-3 | Risk Level: Medium | Product Category: Mechanical Components | SKU: SKU-MC-1080 | PO Value: $63,700.80 | Units Ordered: 23080 | Units Delivered On Time: 14725 | Units Rejected: 724 | OTD Rate: 63.8% | Defect Rate: 3.14% | Compliance Score: 52 | Sustainability Score: 39 | Lead Time: 48 days | Certifications: ISO9001 | Last Audit: 2024-02-24 | Active Disruption: Regulatory audit pending | Quarter: Q2-2023"
"Purchase Order PO-10483 | Supplier: Saigon Precision Works (ID: SUP-019) | Region: APAC | Country: Vietnam | Tier: Tier-2 | Risk Level: Medium | Product Category: Electronic Components | SKU: SKU-EC-1070 | PO Value: $73,878.31 | Units Ordered: 16381 | Units Delivered On Time: 14562 | Units Rejected: 191 | OTD Rate: 88.9% | Defect Rate: 1.17% | Compliance Score: 72 | Sustainability Score: 83 | Lead Time: 30 days | Certifications: ISO9001;RoHS | Last Audit: 2024-08-22 | Active Disruption: Seasonal flood risk | Quarter: Q1-2023"
